Temperature,Humidity,Wind,Outlook,Play
3.3,49,1,sunny,1
3.3,49,1,sunny,0
3.3,49,1,sunny,0
3.3,49,1,sunny,1
3.3,49,1,sunny,1
3.3,49,1,sunny,0
3.3,49,1,sunny,0
2.9,53,0,sunny,1
2.9,53,0,sunny,0
2.9,53,0,sunny,1
2.9,53,0,sunny,0
2.9,53,0,sunny,0
2.9,53,0,sunny,0
2.9,53,0,sunny,0
2.3,58,0,overcast,0
2.3,58,0,overcast,0
2.3,58,0,overcast,1
2.3,58,0,overcast,0
2.3,58,0,overcast,0
2.3,58,0,overcast,0
2.3,58,0,overcast,0
3,45,0,overcast,0
3,45,0,overcast,0
3,45,0,overcast,0
3,45,0,overcast,0
3,45,0,overcast,0
3,45,0,overcast,0
3,45,0,overcast,0
3.1,31,1,sunny,0
3.1,31,1,sunny,0
3.1,31,1,sunny,0
3.1,31,1,sunny,0
3.1,31,1,sunny,1
3.1,31,1,sunny,0
3.1,31,1,sunny,0
2.1,35,0,sunny,1
2.1,35,0,sunny,0
2.1,35,0,sunny,0
2.1,35,0,sunny,0
2.1,35,0,sunny,1
2.1,35,0,sunny,0
2.1,35,0,sunny,0
1.2,36,1,snow,0
1.2,36,1,snow,0
1.2,36,1,snow,0
1.2,36,1,snow,0
1.2,36,1,snow,0
1.2,36,1,snow,0
1.2,36,1,snow,0
-0.2,56,1,snow,0
-0.2,56,1,snow,0
-0.2,56,1,snow,0
-0.2,56,1,snow,1
-0.2,56,1,snow,0
-0.2,56,1,snow,1
-0.2,56,1,snow,0
-0.6,51,1,sunny,0
-0.6,51,1,sunny,0
-0.6,51,1,sunny,0
-0.6,51,1,sunny,1
-0.6,51,1,sunny,0
-0.6,51,1,sunny,1
-0.6,51,1,sunny,0
-0.4,59,0,snow,0
-0.4,59,0,snow,0
-0.4,59,0,snow,0
-0.4,59,0,snow,0
-0.4,59,0,snow,0
-0.4,59,0,snow,1
-0.4,59,0,snow,0
0.3,69,0,snow,0
0.3,69,0,snow,0
0.3,69,0,snow,0
0.3,69,0,snow,0
0.3,69,0,snow,0
0.3,69,0,snow,0
0.3,69,0,snow,0
2.6,50,1,overcast,0
2.6,50,1,overcast,0
2.6,50,1,overcast,0
2.6,50,1,overcast,1
2.6,50,1,overcast,0
2.6,50,1,overcast,0
2.6,50,1,overcast,0
5.1,38,0,overcast,0
5.1,38,0,overcast,0
5.1,38,0,overcast,0
5.1,38,0,overcast,0
5.1,38,0,overcast,0
5.1,38,0,overcast,0
5.1,38,0,overcast,0
5.5,62,0,rainy,0
5.5,62,0,rainy,0
5.5,62,0,rainy,0
5.5,62,0,rainy,0
5.5,62,0,rainy,0
5.5,62,0,rainy,0
5.5,62,0,rainy,0
4.5,52,0,overcast,1
4.5,52,0,overcast,1
4.5,52,0,overcast,1
4.5,52,0,overcast,0
4.5,52,0,overcast,0
4.5,52,0,overcast,0
4.5,52,0,overcast,0
1.8,34,0,overcast,1
1.8,34,0,overcast,0
1.8,34,0,overcast,1
1.8,34,0,overcast,0
1.8,34,0,overcast,0
1.8,34,0,overcast,1
1.8,34,0,overcast,0
-0.7,61,0,snow,0
-0.7,61,0,snow,0
-0.7,61,0,snow,0
-0.7,61,0,snow,0
-0.7,61,0,snow,0
-0.7,61,0,snow,1
-0.7,61,0,snow,0
-0.9,51,1,overcast,0
-0.9,51,1,overcast,0
-0.9,51,1,overcast,0
-0.9,51,1,overcast,1
-0.9,51,1,overcast,0
-0.9,51,1,overcast,0
-0.9,51,1,overcast,0
-0.1,56,0,overcast,0
-0.1,56,0,overcast,0
-0.1,56,0,overcast,0
-0.1,56,0,overcast,0
-0.1,56,0,overcast,0
-0.1,56,0,overcast,0
-0.1,56,0,overcast,0
-0.3,59,1,snow,0
-0.3,59,1,snow,0
-0.3,59,1,snow,0
-0.3,59,1,snow,0
-0.3,59,1,snow,0
-0.3,59,1,snow,1
-0.3,59,1,snow,0
-1.1,47,1,snow,0
-1.1,47,1,snow,0
-1.1,47,1,snow,0
-1.1,47,1,snow,1
-1.1,47,1,snow,0
-1.1,47,1,snow,1
-1.1,47,1,snow,0
-1.6,61,0,overcast,0
-1.6,61,0,overcast,0
-1.6,61,0,overcast,0
-1.6,61,0,overcast,0
-1.6,61,0,overcast,0
-1.6,61,0,overcast,1
-1.6,61,0,overcast,0
-0.2,38,1,snow,0
-0.2,38,1,snow,0
-0.2,38,1,snow,0
-0.2,38,1,snow,1
-0.2,38,1,snow,0
-0.2,38,1,snow,1
-0.2,38,1,snow,0
2.6,53,1,sunny,0
2.6,53,1,sunny,0
2.6,53,1,sunny,0
2.6,53,1,sunny,1
2.6,53,1,sunny,1
2.6,53,1,sunny,1
2.6,53,1,sunny,0
5,44,1,overcast,0
5,44,1,overcast,0
5,44,1,overcast,0
5,44,1,overcast,0
5,44,1,overcast,0
